Date of analysis,Country,Total country population,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Feb 2021,COD,105000000,2021-02-01,2021-07-31,96032609,27262321,0.28,27991119,0.29,40779169,0.42,20533697,0.21,6728624,0.07,0,0,2021-08-01,2021-12-31,96032609,26178635,0.27,27651998,0.29,42201977,0.44,20560601,0.21,5618034,0.06,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,2020-07-01,2020-12-31,66665234,21834710,0.33,15806397,0.24,29024127,0.44,16131386,0.24,5703324,0.09,0,0,2021-01-01,2021-06-30,66665234,19616782,0.29,16795375,0.25,30253077,0.45,14741313,0.22,4875469,0.07,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,2019-07-01,2019-12-31,59872947,15577676,0.26,17264472,0.29,27030799,0.45,11660505,0.19,3917171,0.07,0,0,2020-01-01,2020-05-31,48077164,13561717,0.28,13529407,0.28,20986039,0.44,9925921,0.21,3635796,0.07,0,0,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,2018-08-01,2019-06-30,56220906,13141056,0.23,15756643,0.28,27361886,0.49,9767461,0.17,3373595,0.06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2017,COD,78368000,2017-06-01,2017-12-31,71719669,7642208,0.11,0,0,64014318,0.89,6164157,0.09,1478051,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 2024,CPV,510243,2024-11-01,2024-12-31,510243,41299,0.08,385022,0.75,83921,0.16,41299,0.08,0,0,0,0,2025-06-01,2025-08-31,510243,35294,0.07,401419,0.79,73530,0.14,35294,0.07,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,CPV,509078,,,,,,,,,,,,,,,,2024-06-01,2024-08-31,509078,44120,0.09,347309,0.68,117649,0.23,44120,0.09,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,CPV,483628,2023-10-01,2023-12-31,509078,37276,0.07,371551,0.73,100251,0.2,37276,0.07,0,0,0,0,2024-06-01,2024-08-31,509078,44120,0.09,347309,0.68,117649,0.23,44120,0.09,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,CPV,483628,2023-03-01,2023-05-31,483628,43655,0.09,356912,0.74,83061,0.17,40838,0.08,2816,0.01,0,0,2023-06-01,2023-08-31,483628,32287,0.06,365493,0.76,85848,0.18,30999,0.06,1288,0,0,0,,,,,,,,,,,,,,,
Mar 2022,CPV,483628,2022-03-01,2022-05-31,483628,30497,0.06,346464,0.72,106666,0.22,29421,0.06,1076,0,0,0,2022-06-01,2022-08-31,483628,46093,0.1,299473,0.62,138062,0.29,43003,0.09,3090,0.01,0,0,,,,,,,,,,,,,,,
Apr 2024,DJI,1181675,2024-04-01,2024-06-30,1181675,221259,0.19,456966,0.39,503450,0.43,182795,0.15,38465,0.03,0,0,2024-07-01,2024-12-31,1181675,285000,0.24,421955,0.36,474720,0.4,232178,0.2,52822,0.04,0,0,,,,,,,,,,,,,,,
Apr 2023,DJI,1181675,2023-03-01,2023-06-30,1181675,249949,0.21,485668,0.41,446058,0.38,164077,0.14,85872,0.07,0,0,2023-07-01,2023-12-31,1181675,285413,0.24,494539,0.42,401722,0.34,185312,0.16,100102,0.08,0,0,,,,,,,,,,,,,,,
Mar 2022,DJI,1181675,2022-03-01,2022-06-30,1181675,131997,0.11,627092,0.53,422586,0.36,127073,0.11,4923,0,0,0,2022-07-01,2022-12-31,1181675,192168,0.16,574741,0.49,414767,0.35,179778,0.15,12390,0.01,0,0,,,,,,,,,,,,,,,
Oct 2020,DJI,1117143,2020-10-01,2020-12-31,1117143,154979,0.14,668757,0.6,293408,0.26,129106,0.12,25873,0.02,0,0,2021-01-01,2021-08-31,1117143,194197,0.17,534001,0.48,388945,0.35,167210,0.15,26987,0.02,0,0,,,,,,,,,,,,,,,
Oct 2017,DJI,,,,981504,280412,0.29,372284,0.38,328808,0.34,173351,0.18,107061,0.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2023,DOM,10711115,2023-09-01,2023-11-30,10711155,1206438,0.11,7189781,0.67,2314936,0.22,1173051,0.11,33387,0,0,0,2023-12-01,2024-04-30,10795677,1095010,0.1,7412096,0.69,2288571,0.21,1075281,0.1,19729,0,0,0,2024-05-01,2024-08-31,10795677,1041674,0.09,7513332,0.7,2240671,0.21,1021226,0.09,20448,0,0,0
Nov 2022,DOM,10621938,2022-10-01,2023-02-28,10621938,1552880,0.15,5663972,0.53,3405087,0.32,1410397,0.14,142483,0.01,0,0,2023-03-01,2023-06-30,10621938,1213198,0.11,6031996,0.57,3376745,0.32,1159547,0.1,53651,0.01,0,0,,,,,,,,,,,,,,,
Aug 2024,ECU,17966573,2024-06-01,2024-08-31,17966573,2579266,0.14,10429446,0.58,4957860,0.28,2382488,0.13,196779,0.01,0,0,2024-09-01,2025-03-31,18103660,2729051,0.15,10174249,0.56,5200360,0.29,2530642,0.14,198409,0.01,0,0,,,,,,,,,,,,,,,
May 2021,ETH,114964000,2021-05-01,2021-06-30,56346877,16756345,0.3,22380046,0.4,17210486,0.31,12072236,0.21,4331214,0.08,352896,0.01,2021-07-01,2021-09-30,19749101,7386290,0.37,6364779,0.32,5998032,0.3,4558999,0.23,2425979,0.12,401313,0.02,,,,,,,,,,,,,,,
May 2021,ETH,114964000,2021-05-01,2021-06-30,8980967,5522943,0.61,1462694,0.17,1995331,0.22,3091605,0.34,2078442,0.23,352896,0.04,2021-07-01,2021-09-30,5961602,4397377,0.74,526747,0.09,1037478,0.17,2193953,0.37,1802111,0.3,401313,0.07,,,,,,,,,,,,,,,
Oct 2020,ETH,114964000,2020-10-01,2020-12-31,52987400,8609537,0.16,28605694,0.54,15772169,0.3,7191494,0.14,1418043,0.03,0,0,2021-01-01,2021-06-30,53977213,12871469,0.24,23752632,0.44,17353112,0.32,10279333,0.19,2592136,0.05,0,0,2021-07-01,2021-09-30,17607811,3995157,0.23,7113384,0.4,6499271,0.37,3142436,0.18,852721,0.05,0,0
Aug 2020,ETH,114964000,2020-07-01,2020-09-30,41028219,8505687,0.21,19514841,0.48,13007691,0.32,7064145,0.17,1441543,0.04,0,0,2020-10-01,2020-12-31,41028219,6670315,0.16,21917130,0.53,12440774,0.3,5856056,0.14,814259,0.02,0,0,2021-01-01,2021-06-30,41808767,11083154,0.26,17951992,0.43,12773622,0.31,8957491,0.21,2125663,0.05,0,0
Sep 2019,ETH,112079000,2019-07-01,2019-09-30,28727077,7966980,0.27,10726519,0.37,10033578,0.35,6110416,0.21,1856564,0.06,0,0,2019-10-01,2020-01-31,28727077,6689778,0.24,11492469,0.4,10544831,0.37,5355992,0.19,1333786,0.05,0,0,2020-02-01,2020-06-30,29224406,8473790,0.28,10454769,0.37,10295846,0.35,6497082,0.22,1976708,0.06,0,0
Mar 2024,GHA,32155877,2024-03-01,2024-05-31,32155877,1152381,0.04,26646267,0.83,4357229,0.14,1132514,0.04,19868,0,0,0,2024-06-01,2024-08-31,32155877,1053535,0.03,26678393,0.83,4423950,0.14,1034167,0.03,19368,0,0,0,,,,,,,,,,,,,,,
Nov 2023,GHA,30792608,2023-10-01,2023-12-31,32705491,1980705,0.06,26145571,0.8,4578129,0.14,1893477,0.06,87228,0,0,0,2024-06-01,2024-08-31,32705491,2205297,0.06,25306051,0.77,5194143,0.16,2112886,0.06,92411,0,0,0,,,,,,,,,,,,,,,
Mar 2023,GHA,30792608,2023-03-01,2023-05-31,32705491,1456887,0.04,27146839,0.83,4101765,0.13,1388229,0.04,68658,0,0,0,2023-06-01,2023-08-31,32705491,1366308,0.04,27568463,0.84,3770721,0.12,1294525,0.04,71783,0,0,0,,,,,,,,,,,,,,,
Oct 2022,GHA,30792608,2022-10-01,2022-12-31,13675438,823103,0.06,10253490,0.75,2598846,0.19,794119,0.06,28983,0,0,0,2023-06-01,2023-08-31,13675438,719036,0.05,10274454,0.75,2681948,0.2,691689,0.05,27348,0,0,0,,,,,,,,,,,,,,,
Mar 2022,GHA,30792608,2022-03-01,2022-05-31,5578246,416407,0.08,4256673,0.76,905166,0.16,379389,0.07,37018,0.01,0,0,2022-06-01,2022-08-31,5578246,279160,0.05,4504385,0.81,794700,0.14,262348,0.05,16812,0,0,0,,,,,,,,,,,,,,,
Nov 2021,GHA,30792608,2021-10-01,2021-12-31,6471546,563800,0.08,4816312,0.74,1091434,0.17,478231,0.07,85569,0.01,0,0,2022-06-01,2022-08-31,6471546,276478,0.04,5428309,0.84,766759,0.12,266381,0.04,10097,0,0,0,,,,,,,,,,,,,,,
Feb 2021,GHA,30955204,2021-03-01,2021-05-31,30955204,962902,0.03,26539226,0.86,3447128,0.11,935221,0.03,27681,0,0,0,2021-06-01,2021-08-31,30955204,409069,0.01,28231433,0.91,2314703,0.07,407746,0.01,1323,0,0,0,,,,,,,,,,,,,,,
Oct 2020,GHA,30955203,2020-10-01,2020-12-31,30955204,327583,0.01,28127530,0.91,2500091,0.08,327583,0.01,0,0,0,0,2021-06-01,2021-08-31,30955204,163819,0.01,28922731,0.93,1868653,0.06,163819,0.01,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,GIN,14048921,2024-10-01,2024-12-31,14048921,920223,0.07,10291129,0.73,2837569,0.2,920223,0.07,0,0,0,0,2025-06-01,2025-08-31,14048921,1257730,0.09,9233535,0.66,3557656,0.25,1257730,0.09,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,GIN,13931737,2024-03-01,2024-05-31,11779022,828708,0.07,8178343,0.69,2771971,0.24,828708,0.07,0,0,0,0,2024-06-01,2024-08-31,13931737,1025135,0.07,9718373,0.7,3188230,0.23,1025135,0.07,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,GIN,13261638,2023-10-01,2023-12-31,13931737,392493,0.03,11538816,0.83,2000428,0.14,392493,0.03,0,0,0,0,2024-06-01,2024-08-31,13931737,675365,0.04,10975322,0.79,2281050,0.16,621983,0.04,53382,0,0,0,,,,,,,,,,,,,,,
Mar 2023,GIN,13261638,2023-03-01,2023-05-31,11469685,496782,0.04,8774173,0.76,2198730,0.19,496782,0.04,0,0,0,0,2023-06-01,2023-08-31,11469685,709514,0.06,8173274,0.71,2586897,0.23,697390,0.06,12124,0,0,0,,,,,,,,,,,,,,,
Nov 2022,GIN,13261638,2022-10-01,2022-12-31,11469684,649159,0.06,8485903,0.74,2334622,0.2,649159,0.06,0,0,0,0,2023-06-01,2023-08-31,11469684,923028,0.08,7161812,0.62,3384844,0.3,920521,0.08,2508,0,0,0,,,,,,,,,,,,,,,
Mar 2022,GIN,13261638,2022-03-01,2022-05-31,11165931,992179,0.09,6624475,0.59,3549277,0.32,982982,0.09,9197,0,0,0,2022-06-01,2022-08-31,11165931,1219288,0.11,6115433,0.55,3831210,0.34,1198458,0.11,20830,0,0,0,,,,,,,,,,,,,,,
Nov 2021,GIN,13261638,2021-10-01,2021-12-31,11165931,564458,0.05,8818860,0.79,1782612,0.16,564458,0.05,0,0,0,0,2022-06-01,2022-08-31,11165931,739384,0.07,8335012,0.75,2091534,0.19,739384,0.07,0,0,0,0,,,,,,,,,,,,,,,
Apr 2021,GIN,12907395,2021-03-01,2021-05-31,11115573,453942,0.04,8235004,0.74,2426628,0.22,453942,0.04,0,0,0,0,2021-06-01,2021-08-31,11115573,418453,0.04,8124709,0.73,2572410,0.23,418453,0.04,0,0,0,0,,,,,,,,,,,,,,,
Nov 2020,GIN,12559623,2020-10-01,2020-12-31,11115573,630706,0.06,8419037,0.76,2065830,0.19,630706,0.06,0,0,0,0,2021-06-01,2021-08-31,11115573,683633,0.06,8262248,0.74,2169692,0.2,683633,0.06,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,GMB,2422712,2024-10-01,2024-12-31,2422712,131930,0.05,1816237,0.75,474545,0.2,131930,0.05,0,0,0,0,2025-06-01,2025-08-31,2422712,243937,0.1,1564669,0.65,614106,0.25,236290,0.1,7647,0,0,0,,,,,,,,,,,,,,,
Mar 2024,GMB,2516576,,,,,,,,,,,,,,,,2024-06-01,2024-08-31,2516577,226724,0.09,1684392,0.67,605460,0.24,225145,0.09,1580,0,0,0,,,,,,,,,,,,,,,
Nov 2023,GMB,2455839,2023-10-01,2023-12-31,2516577,152967,0.06,1918309,0.76,445301,0.18,152967,0.06,0,0,0,0,2024-06-01,2024-08-31,2516577,226724,0.09,1684392,0.67,605460,0.24,225145,0.09,1580,0,0,0,,,,,,,,,,,,,,,
Mar 2023,GMB,2455839,,,,,,,,,,,,,,,,2023-06-01,2023-08-31,2444250,319628,0.13,1352046,0.55,772577,0.32,300101,0.12,19527,0.01,0,0,,,,,,,,,,,,,,,
Nov 2022,GMB,2455839,2022-10-01,2022-12-31,2444250,207666,0.08,1651834,0.68,584750,0.24,201062,0.08,6604,0,0,0,2023-06-01,2023-08-31,2444250,319628,0.13,1352046,0.55,772577,0.32,300101,0.12,19527,0.01,0,0,,,,,,,,,,,,,,,
Mar 2022,GMB,2455839,,,,,,,,,,,,,,,,2022-06-01,2022-08-31,2455839,206712,0.08,1642345,0.67,606782,0.25,199751,0.08,6962,0,0,0,,,,,,,,,,,,,,,
Nov 2021,GMB,2455839,2021-10-01,2021-12-31,2455839,111976,0.05,1848291,0.75,495572,0.2,111976,0.05,0,0,0,0,2022-06-01,2022-08-31,2455839,206712,0.08,1642345,0.67,606782,0.25,199751,0.08,6962,0,0,0,,,,,,,,,,,,,,,
Mar 2021,GMB,2455839,2021-03-01,2021-05-31,2455839,65410,0.03,2025124,0.82,365305,0.15,65410,0.03,0,0,0,0,2021-06-01,2021-08-31,2455839,113720,0.05,1855578,0.76,486542,0.2,113720,0.05,0,0,0,0,,,,,,,,,,,,,,,
Nov 2020,GMB,2455841,2020-10-01,2020-12-31,2455841,72035,0.03,1991408,0.81,392399,0.16,72035,0.03,0,0,0,0,2021-06-01,2021-08-31,2455841,114752,0.05,1849489,0.75,491072,0.2,113369,0.05,1383,0,0,0,,,,,,,,,,,,,,,
Nov 2024,GNB,1816450,2024-10-01,2024-12-31,1816450,107705,0.06,1422555,0.78,286191,0.16,107705,0.06,0,0,0,0,2025-06-01,2025-08-31,1816450,129620,0.07,1362325,0.75,324505,0.18,129620,0.07,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,GNB,1781307,2024-03-01,2024-05-31,1781307,98024,0.06,1368689,0.77,314595,0.18,98024,0.06,0,0,0,0,2024-06-01,2024-08-31,1781307,117294,0.07,1299716,0.73,364297,0.2,117294,0.07,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,GNB,,2023-10-01,2023-12-31,1781307,80964,0.05,1476807,0.83,223536,0.13,80964,0.05,0,0,0,0,2024-06-01,2024-08-31,1781307,126108,0.07,1373737,0.77,281463,0.16,126108,0.07,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,GNB,1694273,2023-03-01,2023-05-31,1272872,95820,0.08,936337,0.74,240714,0.19,95820,0.08,0,0,0,0,2023-06-01,2023-08-31,1272872,78902,0.06,940711,0.74,253259,0.2,78902,0.06,0,0,0,0,,,,,,,,,,,,,,,
Nov 2022,GNB,1328669,2022-10-01,2022-12-31,1694273,112034,0.07,1308630,0.77,267590,0.16,112034,0.07,0,0,0,0,2023-06-01,2023-08-31,1694273,133998,0.08,1217073,0.72,335679,0.2,133998,0.08,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,GNB,1328669,2022-03-01,2022-05-31,1328669,131444,0.1,847615,0.64,349610,0.26,131444,0.1,0,0,0,0,2022-06-01,2022-08-31,1328669,73092,0.06,1009990,0.76,245587,0.18,73092,0.06,0,0,0,0,,,,,,,,,,,,,,,
Nov 2021,GNB,1328669,2021-10-01,2021-12-31,1328669,57996,0.04,1022196,0.77,248477,0.19,57996,0.04,0,0,0,0,2022-06-01,2022-08-31,1328669,40689,0.03,1066356,0.8,221623,0.17,40689,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2021,GNB,2064265,2021-03-01,2021-05-31,1319425,68127,0.05,1085967,0.82,165331,0.13,68127,0.05,0,0,0,0,2021-06-01,2021-08-31,1319425,100582,0.08,933275,0.71,285567,0.22,100582,0.08,0,0,0,0,,,,,,,,,,,,,,,
Nov 2020,GNB,2064265,2020-10-01,2020-12-31,1276411,153132,0.12,658079,0.52,465200,0.36,147625,0.12,5507,0,0,0,2021-06-01,2021-08-31,1276411,95899,0.07,807617,0.63,372894,0.29,94134,0.07,1766,0,0,0,,,,,,,,,,,,,,,
Jul 2024,GTM,17843132,2024-06-01,2024-08-31,17843132,2994471,0.17,9711864,0.54,5136797,0.29,2608191,0.15,386280,0.02,0,0,2024-09-01,2025-02-28,17843132,2727926,0.15,9671049,0.54,5444156,0.31,2425011,0.13,302915,0.02,0,0,2025-03-01,2025-05-31,17843132,2828186,0.16,9761990,0.55,5237283,0.29,2486782,0.14,341404,0.02,0,0
May 2023,GTM,17602431,2023-03-01,2023-05-31,17602431,3459908,0.19,7578870,0.43,6563653,0.37,3049528,0.17,410380,0.02,0,0,2023-06-01,2023-08-31,17602431,4273098,0.24,7063008,0.4,6266325,0.36,3668942,0.21,604156,0.03,0,0,2023-09-01,2024-02-29,17602431,3095985,0.18,7774134,0.44,6732312,0.38,2772536,0.16,323448,0.02,0,0
Apr 2022,GTM,17357886,2022-03-01,2022-05-31,17357886,3927271,0.22,6276178,0.37,7154438,0.41,3518170,0.2,409100,0.02,0,0,2022-06-01,2022-09-30,17357886,4600986,0.26,5623269,0.33,7133631,0.41,4048533,0.23,552453,0.03,0,0,2022-10-01,2023-02-28,17602431,3239362,0.19,6740346,0.38,7622722,0.43,3111434,0.18,127928,0.01,0,0
May 2021,GTM,17109746,2021-05-01,2021-08-31,17109746,3458652,0.2,5875795,0.34,7775299,0.45,3285023,0.19,173629,0.01,0,0,2021-09-01,2022-01-31,17109746,2512223,0.14,6609358,0.39,7988165,0.47,2454451,0.14,57772,0,0,0,,,,,,,,,,,,,,,
Dec 2020,GTM,16858333,,,,,,,,,,,,,,,,2020-11-01,2021-03-31,16858333,3727600,0.23,6461787,0.38,6668946,0.4,3299978,0.2,427622,0.03,0,0,,,,,,,,,,,,,,,
Sep 2020,GTM,16858333,2020-08-01,2020-10-31,16858333,3681608,0.22,5963358,0.35,7213367,0.43,3235585,0.19,446024,0.03,0,0,2020-11-01,2021-03-31,16858333,2636062,0.16,7125367,0.42,7096904,0.42,2473267,0.15,162795,0.01,0,0,,,,,,,,,,,,,,,
Dec 2019,GTM,17581000,2019-12-01,2020-03-31,6876778,1046740,0.15,3489390,0.51,2340647,0.34,849510,0.12,197231,0.03,0,0,2020-04-01,2020-07-31,6876778,1323703,0.19,3057045,0.44,2496030,0.36,1098002,0.16,225701,0.03,0,0,,,,,,,,,,,,,,,
Mar 2019,GTM,17581000,2018-11-01,2019-02-28,16626832,2601401,0.16,9356128,0.56,4669302,0.28,2115443,0.13,485958,0.03,0,0,2019-03-01,2019-06-30,16626832,3060873,0.18,8749243,0.53,4816715,0.29,2492477,0.15,568397,0.03,0,0,,,,,,,,,,,,,,,
Aug 2018,GTM,17277690,,,17277690,6462137,0.38,4247996,0.24,6561549,0.38,3773287,0.22,2688850,0.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 2017,GTM,16736000,2017-07-01,2017-07-31,4670000,470000,0.1,2900000,0.62,1300000,0.28,470000,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 2024,HND,9892632,2023-12-01,2024-02-29,9892632,1772657,0.18,4537891,0.46,3582083,0.36,1598973,0.16,173684,0.02,0,0,2024-03-01,2024-05-31,9892632,1793142,0.18,4585409,0.46,3514081,0.36,1591113,0.16,202029,0.02,0,0,2024-06-01,2024-08-31,9892632,1925726,0.19,4411019,0.45,3555888,0.36,1700136,0.17,225589,0.02,0,0
Feb 2023,HND,9745149,2022-12-01,2023-02-28,9745149,2300926,0.24,4133979,0.42,3310243,0.34,1990219,0.2,310707,0.03,0,0,2023-03-01,2023-05-31,9745149,2339923,0.24,4056864,0.42,3348361,0.34,2012945,0.21,326979,0.03,0,0,2023-06-01,2023-08-31,9745149,2418192,0.25,3930365,0.4,3396592,0.35,2066258,0.21,351934,0.04,0,0
Jan 2022,HND,9597739,2021-12-01,2022-02-28,9597739,2227597,0.24,3550819,0.37,3819323,0.4,1986945,0.21,240652,0.03,0,0,2022-03-01,2022-05-31,9597739,2360645,0.25,3425923,0.36,3811171,0.4,2079008,0.22,281637,0.03,0,0,2022-06-01,2022-08-31,9597739,2644239,0.28,3233689,0.34,3719811,0.39,2291044,0.24,353195,0.04,0,0
Jan 2021,HND,9304380,2020-12-01,2021-03-31,9304380,2909523,0.31,2929158,0.31,3465700,0.37,2295570,0.25,613952,0.07,0,0,2021-04-01,2021-06-30,9304380,3065256,0.33,2648865,0.28,3590259,0.39,2498483,0.27,566773,0.06,0,0,2021-07-01,2021-09-30,9304380,3294065,0.35,2506918,0.27,3503397,0.38,2678544,0.29,615521,0.07,0,0
Jun 2020,HND,9905000,,,,,,,,,,,,,,,,2020-06-01,2020-08-31,5121413,1648160,0.32,1597233,0.3,1876022,0.37,1298601,0.25,349559,0.07,0,0,,,,,,,,,,,,,,,
Nov 2019,HND,9746000,2019-11-01,2020-02-29,5121413,963919,0.18,2362046,0.46,1795448,0.35,787093,0.15,176826,0.03,0,0,2020-03-01,2020-06-30,5121413,1221551,0.24,2055458,0.4,1844404,0.36,963273,0.19,258278,0.05,0,0,,,,,,,,,,,,,,,
Feb 2019,HND,9746000,2018-12-01,2019-02-28,1390160,245929,0.17,752411,0.54,391821,0.28,172666,0.12,73263,0.05,0,0,2019-03-01,2019-06-30,1390160,287652,0.21,708469,0.51,394039,0.28,205607,0.15,82045,0.06,0,0,,,,,,,,,,,,,,,
Dec 2018,HND,9377082,2018-12-01,2019-02-28,1400306,273058,0.19,731715,0.52,395532,0.28,224819,0.16,48238,0.03,0,0,2019-03-01,2019-05-31,1400306,267409,0.19,764445,0.55,368452,0.26,218416,0.16,48993,0.03,0,0,,,,,,,,,,,,,,,
Apr 2018,HND,,,,4601030,1057000,0.23,1928000,0.42,1612000,0.35,801000,0.17,256000,0.06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 2024,HTI,11214615,2024-08-01,2025-02-28,11214605,5407898,0.48,2749682,0.25,3057026,0.27,3400350,0.3,2001911,0.18,5636,0,2025-03-01,2025-06-30,11214605,5535334,0.5,2705009,0.24,2974262,0.27,3534353,0.32,1995345,0.18,5636,0,,,,,,,,,,,,,,,
Mar 2024,HTI,10911000,,,,,,,,,,,,,,,,2024-03-01,2024-06-30,9906757,4966090,0.5,2574239,0.26,2366427,0.24,3321110,0.33,1644981,0.17,0,0,,,,,,,,,,,,,,,
Aug 2023,HTI,11724763,2023-08-01,2024-02-29,9906757,4346137,0.44,2742982,0.28,2817638,0.28,2944664,0.3,1401473,0.14,0,0,2024-03-01,2024-06-30,9906757,4434225,0.45,2674593,0.27,2797939,0.28,3032752,0.31,1401473,0.14,0,0,,,,,,,,,,,,,,,
Mar 2023,HTI,10911819,,,,,,,,,,,,,,,,2023-03-01,2023-06-30,9906757,4890233,0.49,2346733,0.24,2669791,0.27,3082278,0.31,1807955,0.18,0,0,,,,,,,,,,,,,,,
Sep 2022,HTI,10911819,2022-09-01,2023-02-28,9906757,4724394,0.48,2397489,0.24,2784874,0.28,2891240,0.29,1813948,0.18,19206,0,2023-03-01,2023-06-30,9906757,4711534,0.48,2378323,0.24,2816900,0.28,3038489,0.3,1653839,0.17,19206,0,,,,,,,,,,,,,,,
Feb 2022,HTI,10911819,,,,,,,,,,,,,,,,2022-03-01,2022-06-30,9906757,4495852,0.45,2758414,0.28,2652491,0.27,3178226,0.32,1317626,0.13,0,0,,,,,,,,,,,,,,,
Sep 2021,HTI,12900000,2021-09-01,2022-02-28,9906757,4333426,0.44,2817961,0.28,2747687,0.28,2995664,0.3,1337763,0.14,0,0,2022-03-01,2022-06-30,9906757,4564017,0.46,2784800,0.28,2557940,0.26,3220665,0.33,1343352,0.14,0,0,,,,,,,,,,,,,,,
Aug 2020,HTI,10911819,2020-08-01,2021-02-28,9536143,3988968,0.41,2525541,0.26,3021634,0.32,3083497,0.32,905471,0.09,0,0,2021-03-01,2021-06-30,9536143,4355735,0.46,2371987,0.25,2808421,0.29,3198820,0.34,1156915,0.12,0,0,,,,,,,,,,,,,,,
Oct 2019,HTI,11263000,2019-10-01,2020-02-29,10450082,3673127,0.35,3537028,0.34,3239874,0.31,2627469,0.25,1045658,0.1,0,0,2020-03-01,2020-06-30,10450082,4101280,0.4,3546777,0.33,2799105,0.27,2897997,0.28,1203283,0.12,0,0,,,,,,,,,,,,,,,
Oct 2018,HTI,11112945,2018-10-01,2019-02-28,6977934,2258982,0.33,2302432,0.33,2416520,0.35,1872616,0.27,386366,0.06,0,0,2019-03-01,2019-06-30,6977934,2625289,0.37,1938387,0.28,2414258,0.35,2054160,0.29,571129,0.08,0,0,,,,,,,,,,,,,,,
Oct 2017,HTI,10906004,2017-10-01,2018-02-28,7425945,1321776,0.18,3011451,0.4,3092718,0.42,1188918,0.16,132858,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
